,Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
0,BUENOS AIRES,25 de Mayo,25 de Mayo,SI,SI,--,SI,SI,SI,SI,SI,SI
1,BUENOS AIRES,25 de Mayo,Agustín Mosconi,--,--,--,--,--,--,SI,--,--
2,BUENOS AIRES,25 de Mayo,Del Valle,SI,--,--,--,SI,SI,--,--,SI
3,BUENOS AIRES,25 de Mayo,Ernestina,SI,--,--,--,--,--,--,--,--
4,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,--,--,--,--,--,--,--,SI,--
5,BUENOS AIRES,25 de Mayo,Lucas Monteverde,--,--,--,--,--,--,--,SI,--
6,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,--,SI,--,--,SI,SI,SI,SI,--
7,BUENOS AIRES,25 de Mayo,Pedernales,SI,--,--,--,SI,--,--,--,--
8,BUENOS AIRES,25 de Mayo,San Enrique,--,--,--,--,--,--,SI,--,--
9,BUENOS AIRES,25 de Mayo,Valdés,--,--,--,--,SI,--,SI,--,--
10,BUENOS AIRES,9 de Julio,12 de Octubre,--,--,--,--,--,--,SI,SI,--
11,BUENOS AIRES,9 de Julio,9 de Julio,SI,SI,SI,SI,SI,SI,SI,SI,--
12,BUENOS AIRES,9 de Julio,Alfredo Demarchi (Est. Facundo Quiroga),SI,--,--,--,SI,SI,SI,--,--
13,BUENOS AIRES,Carlos Tejedor,Curarú,--,--,--,--,--,--,SI,--,--
14,BUENOS AIRES,Carlos Tejedor,Timote,--,--,--,--,--,--,SI,--,--
15,BUENOS AIRES,Carlos Tejedor,Tres Algarrobos (Est. Cuenca),--,--,--,--,SI,SI,SI,--,SI
16,BUENOS AIRES,Carmen de Areco,Carmen de Areco,SI,SI,SI,SI,SI,SI,SI,SI,--
17,BUENOS AIRES,Carmen de Areco,Pueblo Gouin,--,--,--,--,--,--,--,SI,--
18,BUENOS AIRES,Carmen de Areco,Tres Sargentos,--,--,--,--,SI,--,SI,SI,--
19,BUENOS AIRES,Castelli,Castelli,SI,SI,--,SI,SI,SI,SI,SI,SI
20,BUENOS AIRES,Castelli,Centro Guerrero,--,--,--,SI,--,--,--,SI,--
21,BUENOS AIRES,Castelli,Cerro de la Gloria,--,--,--,SI,--,SI,--,--,--
22,BUENOS AIRES,Chacabuco,Castilla,--,--,--,--,--,--,SI,SI,--
23,BUENOS AIRES,Chacabuco,Chacabuco,SI,SI,SI,SI,SI,SI,SI,SI,--
24,BUENOS AIRES,Chacabuco,Los Angeles,--,--,--,--,SI,SI,--,--,--
25,BUENOS AIRES,Chacabuco,O'Higgins,SI,--,--,SI,SI,SI,SI,SI,--
26,BUENOS AIRES,General Juan Madariaga,General Juan Madariaga,SI,--,SI,SI,SI,SI,SI,--,--
27,BUENOS AIRES,General La Madrid,General La Madrid,SI,--,SI,SI,SI,SI,SI,SI,--
28,BUENOS AIRES,General La Madrid,La Colina,--,--,--,--,--,--,SI,--,--
29,BUENOS AIRES,General La Madrid,Las Martinetas,--,--,--,--,--,--,SI,--,--
30,BUENOS AIRES,General La Madrid,Líbano,--,--,--,--,--,--,SI,--,--
31,BUENOS AIRES,General La Madrid,Pontaut,--,--,--,--,--,SI,--,--,--
32,BUENOS AIRES,General Las Heras,General Hornos,--,--,--,--,SI,--,--,--,--
33,BUENOS AIRES,General Las Heras,General Las Heras (Est. Las Heras),SI,SI,SI,--,SI,SI,SI,SI,--
34,BUENOS AIRES,General Las Heras,La Choza,--,--,--,--,--,--,--,--,--
35,BUENOS AIRES,General Las Heras,Lozano,--,--,--,--,--,--,--,--,SI
36,BUENOS AIRES,General Las Heras,Plomer,--,--,--,--,--,--,SI,--,--
37,BUENOS AIRES,General Las Heras,Villars,--,SI,SI,SI,--,--,SI,--,--
38,BUENOS AIRES,General Lavalle,Chacras de San Clemente,--,--,--,--,--,--,--,SI,--
39,BUENOS AIRES,General Lavalle,General Lavalle,--,SI,--,--,SI,SI,SI,SI,SI
40,BUENOS AIRES,General Lavalle,Pavón,--,--,--,SI,SI,SI,--,SI,--
41,BUENOS AIRES,La Plata,La Plata,SI,SI,SI,SI,SI,SI,SI,SI,SI
42,BUENOS AIRES,La Plata,La Providencia,--,--,--,--,--,--,--,--,--
43,BUENOS AIRES,La Plata,Lisandro Olmos,--,SI,--,--,SI,SI,--,--,--
44,BUENOS AIRES,La Plata,Lomas de Copello,--,--,--,--,--,--,--,--,--
45,BUENOS AIRES,La Plata,Los Hornos,--,SI,--,SI,SI,SI,--,SI,--
46,BUENOS AIRES,La Plata,Manuel B Gonnet,--,SI,--,SI,SI,SI,--,--,--
47,BUENOS AIRES,La Plata,Poblet,--,--,--,--,--,--,--,--,--
48,BUENOS AIRES,La Plata,Ringuelet,--,SI,--,SI,SI,SI,--,--,--
49,BUENOS AIRES,La Plata,Rufino De Elizalde,--,--,--,--,SI,SI,--,--,--
50,BUENOS AIRES,La Plata,ruta del sol,SI,--,--,--,SI,SI,--,--,--
51,BUENOS AIRES,La Plata,ruta del sol,SI,--,--,--,SI,SI,--,--,--
52,BUENOS AIRES,La Plata,Tolosa,--,SI,--,SI,SI,SI,--,--,--
53,BUENOS AIRES,La Plata,Transradio,--,--,--,--,SI,SI,--,--,SI
54,BUENOS AIRES,Necochea,Juan N. Fernández,SI,--,--,--,SI,SI,SI,SI,SI
55,BUENOS AIRES,Necochea,Necochea - Quequén,SI,SI,SI,SI,SI,SI,SI,SI,SI
56,BUENOS AIRES,Necochea,Nicanor Olivera (Est. La Dulce),SI,--,SI,--,--,SI,SI,SI,--
57,BUENOS AIRES,Necochea,Ramón Santamarina,--,--,--,--,SI,SI,SI,--,--
58,BUENOS AIRES,Olavarría,Blancagrande,--,--,--,--,--,--,--,--,--
59,BUENOS AIRES,Olavarría,Colonia Hinojo,--,--,--,--,SI,--,--,--,--
60,BUENOS AIRES,Olavarría,Colonia Nievas,--,--,--,--,--,--,--,--,--
61,BUENOS AIRES,Olavarría,Colonia San Miguel,--,--,--,--,--,--,--,--,--
62,BUENOS AIRES,Olavarría,Espigas,--,--,--,--,--,--,SI,--,--
63,BUENOS AIRES,Olavarría,Hinojo,SI,--,--,--,SI,SI,SI,SI,SI
